NumeroCorte,FolioInicio, FolioFinal,TotalUnidades,TotalPuntos,Efectivo,Tarjeta,Cheque,Transferencia,OtroMetodo,TotalVendido,DevolucionEfectivo,DevolucionTarjeta,TipoCambio,Fecha
1,0,0,53,0,0,0,0,0,0,1078,0,0,0,07/06/2017 07:30 p. m.
2,0,0,157,0,0,0,0,0,0,2716.42,0,0,0,08/06/2017 08:11 p. m.
3,0,0,153,0,0,0,0,0,0,3420.21,0,0,0,09/06/2017 08:07 p. m.
4,0,0,222,0,0,0,0,0,0,4205.9,0,0,0,10/06/2017 07:39 p. m.
5,0,0,148,0,0,0,0,0,0,5770.4,0,0,0,11/06/2017 05:59 p. m.
6,0,0,141,0,0,0,0,0,0,2428.5,0,0,0,12/06/2017 08:17 p. m.
7,0,0,127,0,0,0,0,0,0,2802.5,0,0,0,13/06/2017 07:23 p. m.
8,0,0,101,0,0,0,0,0,0,860,0,0,0,14/06/2017 07:38 p. m.
9,0,0,134,0,0,0,0,0,0,2781.5,0,0,0,15/06/2017 07:35 p. m.
10,0,0,140,0,0,0,0,0,0,3373.5,0,0,0,16/06/2017 08:03 p. m.
11,0,0,268,0,0,0,0,0,0,6673.5,0,0,0,17/06/2017 08:18 p. m.
12,0,0,107,0,0,0,0,0,0,2954.5,0,0,0,18/06/2017 05:53 p. m.
13,0,0,132,0,0,0,0,0,0,3875,0,0,0,19/06/2017 07:55 p. m.
14,0,0,119,0,0,0,0,0,0,989.5,0,0,0,20/06/2017 04:50 p. m.
15,0,0,281,0,0,0,0,0,0,6609.5,0,0,0,21/06/2017 07:22 p. m.
16,0,0,178,0,0,0,0,0,0,4861,0,0,0,22/06/2017 07:41 p. m.
17,0,0,105,0,0,0,0,0,0,2385,0,0,0,23/06/2017 07:59 p. m.
18,0,0,67,0,0,0,0,0,0,1895,0,0,0,24/06/2017 04:39 p. m.
19,0,0,84,0,0,0,0,0,0,1624.5,0,0,0,25/06/2017 04:53 p. m.
20,0,0,84,0,0,0,0,0,0,2064,0,0,0,26/06/2017 07:12 p. m.
21,0,0,128,0,0,0,0,0,0,1681,0,0,0,27/06/2017 07:41 p. m.
22,0,0,94,0,0,0,0,0,0,1779,0,0,0,28/06/2017 07:29 p. m.
23,0,0,75,0,0,0,0,0,0,1665.5,0,0,0,29/06/2017 07:36 p. m.
24,0,0,87,0,0,0,0,0,0,1514.5,0,0,0,30/06/2017 07:36 p. m.
25,0,0,208,0,0,0,0,0,0,3905.5,0,0,0,01/07/2017 07:40 p. m.
26,0,0,167,0,0,0,0,0,0,5777,0,0,0,02/07/2017 05:36 p. m.
27,0,0,83,0,0,0,0,0,0,2321.5,0,0,0,03/07/2017 07:26 p. m.
